year,state,domestic_tourists,foreign_tourists
2016,Andaman & Nicobar Island,384552,15466
2017,Andaman & Nicobar Island,471919,15313
2018,Andaman & Nicobar Island,498279,15242
2019,Andaman & Nicobar Island,505398,16206
2020,Andaman & Nicobar Island,191207,5412
2021,Andaman & Nicobar Island,126238,1687
2022,Andaman & Nicobar Island,235100,4500
2023,Andaman & Nicobar Island,32300,900
2016,Andhra Pradesh,153163354,341764
2017,Andhra Pradesh,165433898,271362
2018,Andhra Pradesh,194767874,281083
2019,Andhra Pradesh,237051508,280356
2020,Andhra Pradesh,70828590,67591
2021,Andhra Pradesh,93277569,27551
2022,Andhra Pradesh,192767000,165800
2023,Andhra Pradesh,25470600,6000
2016,Arunachal Pradesh,385875,6598
2017,Arunachal Pradesh,444005,7147
2018,Arunachal Pradesh,512436,7653
2019,Arunachal Pradesh,555639,7825
2020,Arunachal Pradesh,42871,961
2021,Arunachal Pradesh,102915,182
2022,Arunachal Pradesh,222000,1000
2023,Arunachal Pradesh,1041000,4000
2016,Assam,5160599,12685
2017,Assam,6052667,21760
2018,Assam,5856282,36846
2019,Assam,5447805,26878
2020,Assam,1266898,7285
2021,Assam,1409161,536
2022,Assam,8382000,9000
2023,Assam,7613000,24000
2016,Bihar,28516127,1010531
2017,Bihar,32414063,1082705
2018,Bihar,33621613,1087971
2019,Bihar,33990038,1093141
2020,Bihar,5638024,308080
2021,Bihar,2501193,1046
2022,Bihar,25330000,87000
2023,Bihar,81586000,547000
2016,Chandigarh,1182504,31549
2017,Chandigarh,1425781,31832
2018,Chandigarh,1538796,39681
2019,Chandigarh,1563795,44132
2020,Chandigarh,417953,12218
2021,Chandigarh,228809,5451
2022,Chandigarh,3027000,28000
2023,Chandigarh,366000,31000
2016,Chhattisgarh,16534471,9220
2017,Chhattisgarh,17350030,6701
2018,Chhattisgarh,19329501,14399
2019,Chhattisgarh,17304506,6817
2020,Chhattisgarh,2810227,2322
2021,Chhattisgarh,4747417,8
2022,Chhattisgarh,23636000,NA
2023,Chhattisgarh,26022000,1000
2016,UT of Dadra & Nagar Haveli and Daman and Diu,1415275,7560
2017,UT of Dadra & Nagar Haveli and Daman and Diu,1472313,7443
2018,UT of Dadra & Nagar Haveli and Daman and Diu,1508259,7302
2019,UT of Dadra & Nagar Haveli and Daman and Diu,1516134,7369
2020,UT of Dadra & Nagar Haveli and Daman and Diu,402395,1604
2021,UT of Dadra & Nagar Haveli and Daman and Diu,661222,185
2022,UT of Dadra & Nagar Haveli and Daman and Diu,800000,2000
2023,UT of Dadra & Nagar Haveli and Daman and Diu,1004000,4000
2016,Delhi *,28460832,2520083
2017,Delhi *,29114423,2740502
2018,Delhi #,29114423,2740502
2019,Delhi *,36467598,2983436
2020,Delhi *,9583671,681230
2021,Delhi *,10642477,100178
2022,Delhi *,27186000,816000
2023,Delhi *,39415000,1828000
2016,Goa,5650061,680683
2017,Goa,6895234,842220
2018,Goa,7081559,933841
2019,Goa,7127287,937113
2020,Goa,3258715,302751
2021,Goa,3308089,22128
2022,Goa,7012000,175000
2023,Goa,8175000,1000
2016,Gujarat,42252909,343752
2017,Gujarat,48343121,448853
2018,Gujarat,54369873,513113
2019,Gujarat,58864661,595607
2020,Gujarat,19464517,210047
2021,Gujarat,24525210,11319
2022,Gujarat,135811000,1777000
2023,Gujarat,178067000,2807000
2016,Haryana,7382995,331291
2017,Haryana,6050325,193381
2018,Haryana,4888952,73977
2019,Haryana,4549017,48046
2020,Haryana,2114731,17474
2021,Haryana,2025450,4578
2022,Haryana,2108000,2000
2023,Haryana,2012000,1000
2016,Himachal Pradesh,17997750,4527710
2017,Himachal Pradesh,19130541,470992
2018,Himachal Pradesh,16093935,356568
2019,Himachal Pradesh,16829231,382876
2020,Himachal Pradesh,3170714,42665
2021,Himachal Pradesh,5632270,4932
2022,Himachal Pradesh,15071000,29000
2023,Himachal Pradesh,15071000,1000
2016,Jammu & Kashmir,9414579,63207
2017,Jammu & Kashmir,14235473,79765
2018,Jammu & Kashmir,17076315,139520
2019,Jammu & Kashmir,16163330,57920
2020,Jammu & Kashmir,2519524,5317
2021,Jammu & Kashmir,11314920,1650
2022,Jammu & Kashmir,18499000,20000
2023,Jammu & Kashmir,20679000,55000
2016,Jharkhand,33389286,169442
2017,Jharkhand,33723185,170987
2018,Jharkhand,35408822,175801
2019,Jharkhand,35580768,176043
2020,Jharkhand,2574704,490
2021,Jharkhand,3383642,1637
2022,Jharkhand,38284000,192000
2023,Jharkhand,35776000,189000
2016,Karnataka,129762600,461752
2017,Karnataka,179980191,498148
2018,Karnataka,214306456,543716
2019,Karnataka,227934714,608754
2020,Karnataka,77453339,165325
2021,Karnataka,81333659,72487
2022,Karnataka,182413000,129000
2023,Karnataka,284121000,409000
2016,Kerala,13172536,1038419
2017,Kerala,14673520,1091870
2018,Kerala,15604661,1096407
2019,Kerala,18384233,1189771
2020,Kerala,4988972,340755
2021,Kerala,7537617,60487
2022,Kerala,18867000,346000
2023,Kerala,21872000,649000
2016,Lakshadweep,8716,753
2017,Lakshadweep,6620,1027
2018,Lakshadweep,10435,1313
2019,Lakshadweep,6985,820
2020,Lakshadweep,3462,413
2021,Lakshadweep,13500,4
2022,Lakshadweep,23000,NA
2023,Lakshadweep,46000,1000
2016,Ladakh,NA,NA
2017,Ladakh,NA,NA
2018,Ladakh,NA,NA
2019,Ladakh,241285,38652
2020,Ladakh,6743,1126
2021,Ladakh,303023,1054
2022,Ladakh,510000,21000
2023,Ladakh,759000,41000
2016,Madhya Pradesh,150490339,363195
2017,Madhya Pradesh,78038522,359119
2018,Madhya Pradesh,83969799,375476
2019,Madhya Pradesh,88707139,327958
2020,Madhya Pradesh,23519632,99819
2021,Madhya Pradesh,25554067,41601
2022,Madhya Pradesh,35849000,204000
2023,Madhya Pradesh,111946000,183000
2016,Maharashtra*,116515800,4670048
2017,Maharashtra*,119191539,5078514
2018,Maharashtra#,119191539,5078514
2019,Maharashtra*,149294703,5528704
2020,Maharashtra*,39234591,1262409
2021,Maharashtra*,43569238,185643
2022,Maharashtra*,111298000,1512000
2023,Maharashtra*,161360000,3388000
2016,Manipur,150638,3064
2017,Manipur,153454,3497
2018,Manipur,176109,6391
2019,Manipur,167560,13608
2020,Manipur,49669,3139
2021,Manipur,49371,648
2022,Manipur,140000,4000
2023,Manipur,58000,4000
2016,Meghalaya,830887,8476
2017,Meghalaya,990856,12051
2018,Meghalaya,1198340,18114
2019,Meghalaya,1245633,25813
2020,Meghalaya,24734,2311
2021,Meghalaya,154409,411
2022,Meghalaya,937000,8000
2023,Meghalaya,1372000,20000
2016,Mizoram,67238,942
2017,Mizoram,67772,1155
2018,Mizoram,76551,967
2019,Mizoram,163762,2249
2020,Mizoram,30890,265
2021,Mizoram,87232,234
2022,Mizoram,218000,3000
2023,Mizoram,209000,4000
2016,Nagaland,58178,3260
2017,Nagaland,63362,4166
2018,Nagaland,101588,5010
2019,Nagaland,125949,5577
2020,Nagaland,10979,518
2021,Nagaland,23968,325
2022,Nagaland,97000,3000
2023,Nagaland,100000,5000
2016,Odisha,12842766,76361
2017,Odisha,14011229,100014
2018,Odisha,15208540,110818
2019,Odisha,15307637,115128
2020,Odisha,4622273,10206
2021,Odisha,3742221,2269
2022,Odisha,7868000,22000
2023,Odisha,9725000,45000
2016,Puducherry,1398289,117437
2017,Puducherry,1531972,131407
2018,Puducherry,1616660,141133
2019,Puducherry,1713248,149919
2020,Puducherry,1114942,92080
2021,Puducherry,1253213,321
2022,Puducherry,1760000,1000
2023,Puducherry,2092000,31000
2016,Punjab,38703326,659736
2017,Punjab,40293352,1108635
2018,Punjab,44595061,1200969
2019,Punjab,47385387,1101343
2020,Punjab,16692197,359114
2021,Punjab,26640429,308135
2022,Punjab,26089000,329000
2023,Punjab,35708000,742000
2016,Rajasthan,41495115,1513729
2017,Rajasthan,45916573,1609963
2018,Rajasthan,50235643,1754348
2019,Rajasthan,52220431,1605560
2020,Rajasthan,15117239,446457
2021,Rajasthan,21988734,34806
2022,Rajasthan,108328000,397000
2023,Rajasthan,179052000,1700000
2016,Sikkim,747343,66012
2017,Sikkim,1375854,49111
2018,Sikkim,1426127,71172
2019,Sikkim,1421823,133388
2020,Sikkim,316408,19935
2021,Sikkim,511669,11508
2022,Sikkim,1626000,69000
2023,Sikkim,1321000,94000
2016,Tamil Nadu,343812413,4721978
2017,Tamil Nadu,345061140,4860455
2018,Tamil Nadu,385909376,6074345
2019,Tamil Nadu,494865257,6866327
2020,Tamil Nadu,140651241,1228323
2021,Tamil Nadu,115336719,57622
2022,Tamil Nadu,218585000,407000
2023,Tamil Nadu,286012000,1175000000
2016,Telangana,95160830,166570
2017,Telangana,85266596,251846
2018,Telangana,92878329,318154
2019,Telangana,83035894,323326
2020,Telangana,39997001,46694
2021,Telangana,32000620,5917
2022,Telangana,60748000,68000
2023,Telangana,58448000,161000
2016,Tripura,370618,36780
2017,Tripura,398669,69899
2018,Tripura,414388,102861
2019,Tripura,437201,154405
2020,Tripura,127815,31877
2021,Tripura,177816,5
2022,Tripura,236000,8000
2023,Tripura,366000,67000
2016,Uttar Pradesh,211707090,3156812
2017,Uttar Pradesh,233977619,3556204
2018,Uttar Pradesh,285079848,3780752
2019,Uttar Pradesh,535855162,4745181
2020,Uttar Pradesh,86122293,890932
2021,Uttar Pradesh,109708435,44737
2022,Uttar Pradesh,317914000,649000
2023,Uttar Pradesh,478526000,1602000
2016,Uttarakhand,30505363,117106
2017,Uttarakhand,34359989,133725
2018,Uttarakhand,35609650,151320
2019,Uttarakhand,37585920,152273
2020,Uttarakhand,7005264,41339
2021,Uttarakhand,19434475,8532
2022,Uttarakhand,54643000,62000
2023,Uttarakhand,58141000,143000
2016,West Bengal,74460250,1528700
2017,West Bengal,79630345,1574915
2018,West Bengal,1617105,1617105
2019,West Bengal,92366025,1656145
2020,West Bengal,28841732,463285
2021,West Bengal,24325984,34828
2022,West Bengal,84542000,1037000
2023,West Bengal,145669000,2707000
